reviewId,comment,score,date,cleaned_text,english,bugs,content,feature,ui,navigation,billing,brand,price_billing_payment,login,device,customer support,other
f0d9ad73-7074-466c-b735-5d8c0f5f8d76,Great shows. It's a simple app. It only glitches with slow Wi-Fi.,5,13-10-2018 02:21,great show simple app glitch slow wifi,TRUE,1,,,,,,1,,,,,
4efe2048-529c-4a4a-ab8d-93d283bcffe0,Keeps crashing when fast forwarding video,1,23-09-2018 10:23,keep crashing fast forwarding video,TRUE,1,,,,,,,,,,,
c8aa7ab4-d26a-4b38-9578-e56875a012d9,Logs me out and can't log in. Its always shows me that my email or passwords is incorrect,2,28-10-2018 07:11,log cant log always show email password incorrect,TRUE,,,,,,,,,1,,,
567f6e66-ca49-4501-b0bb-b2fe7fff97ee,This is an amazing app to watch shows and movies it has family friendly content as well with a wide variety if shows for everyone! 10 out of 10 would recommend,5,15-11-2018 22:16,amazing app watch show movie family friendly content well wide variety show everyone would recommend,TRUE,,1,,,,,1,,,,,
7b96031f-2ef4-40f9-be47-c7de197c7498,Netflix is awesome! I use it on my TV and Laptop. Love the content. Only issue I face is when I watch it on my phone (Samsung Galaxy Note 9). For some reason in dark scenes the screen becomes horribly pixelated and the colour accuracy goes completely haywire. It's a 5 star app for me if someone can solve this issue for me.,3,29-12-2018 22:06,netflix awesome use tv laptop love contentnly issue face watch phonesamsung galaxy note reason dark scene screen becomes horribly pixelated colour accuracy go completely haywire star app someone solve issue,TRUE,1,,,,,,,,,1,,
30d95ca8-3b4b-4779-a43b-23a5c7016743,Hello everybody and I'm rating Netflix it's got great shows and movies😎😎😎😎 there's nothing that I don't like on Netflix so that's basically my small report that's it bye guys😊😊😊😊,4,05-11-2018 03:13,hello everybody im rating netflix got great show movie there nothing dont like netflix thats basically small report thats bye guy,TRUE,,1,,,,,1,,,,,
d295c83b-b562-45ff-8932-6f8a0ab7d2c9,I like having this app on my phone however even after changing all the settings (on phone and in the app) it is still running in the background and drainingy battery. I force stop it and it will still run in the background. I have the settings set to not run in the background and it still does.,2,18-10-2018 17:14,like app phone however even changing settingson phone app still running background drainingy battery force stop still run background setting set run background still,TRUE,1,,,,,,,,,,,
00a75c37-2508-4a57-8db2-9141497c633f,Loving it! But please add playback speed. I'd really be happy if you guys add that. Thanks!,5,15-11-2018 12:36,loving please add playback speed id really happy guy add thanks,TRUE,,,1,,,,,,,,,
a8ef93e5-1c38-4c58-9e98-04f0c9b24233,It's great to watch movies that you have never been able to find.old and new.,5,04-12-2018 06:50,great watch movie never able findold new,TRUE,,1,,,,,,,,,,
824a253d-806f-4bab-ade9-910b4f01b0d9,"Stupid only can pay at maxis n digi. I suggest u all dont download this if u dont use maxis or digi Waste of time bastard .shame on u netflix if u want money u should be able to make payment for all mobile no postpaid,,,,,",1,17-10-2018 21:31,stupid pay maxi n digi suggest u dont download u dont use maxi digi waste time bastard shame u netflix u want money u able make payment mobile postpaid,TRUE,,,,,,,,1,,,,
